"Project 
Name",Company,"Plant 
Name","Storage and/or 
Capture","Overall 
Status","Plant 
Status","Project 
Phase","Country
Location","State 
Location","Specific 
Site Location","Plant Size or 
Capture Amount","Power or 
Capture Unit","Combustion/
Separation","Capture 
Technology","Amount of CO2 
Captured/Stored","Captured/Stored 
Unit","Project 
Summary","Project 
Start Date","Project 
Cost",Currency,"Project Information 
Webpage"
Dagang Huashi Power CCS + EOR,Tianjin DaGang Huashi,DaGang Huashi Power Plant,Capture and Storage,Potential,Existing,Planning,China,,Tianjin,330,Megawatt,Post-Combustion,,6164.99979514629,Metric Tons Per Day,Dagang will use one of its two 330-MW power units to demonstrate the capture of CO2 and then transport the CO2 for sequestration and EOR.,01/01/2012,,US Dollar,http://www.spacedaily.com/reports/EESTech_And_Dagang_Power_Sign_MOU_For_Carbon_Capture_Project_999.html
Datang Daqing CCS Project,Datang Corporation,New Build Plant with Oxy-Firing Technology,Capture and Storage,Hold,Planned,Planning,China,,Daquing,350,Megawatt,Oxy-Combustion,,2739.99990895391,Metric Tons Per Day,Alstom signed an agreement in November 2011 stating that it will carry out the study for the 350-MW oxy-combustion CCS demonstration project located in Daqing.,01/01/2020,,US Dollar,http://www.alstom.com/press-centre/2011/9/Alstom-Datang-agree-to-jointly-develop-carbon-capture-demonstration-projects-in-China/
DKRW Energy LLC,DKRW Energy LLC,Medicine Bow CTL,Capture,Hold,Planned,Permitting,United States,Wyoming,Carbon County,20000,Barrels Per Day,Pre-Combustion,Chilled Ammonia,20000,Barrels Per Day,"Plan was to produce 20,000 - 22,000 barrels per day from coal.",01/01/2014,2000000000,US Dollar,http://www.zeroco2.no/projects/medicine-bow-ctl  
Don Valley CCS Power Project,Sargas,Don Valley Power Plant,Capture and Storage,Potential,In Development,Planning,United Kingdom,South Yorkshire,Yorkshire,650,Megawatt,Pre-Combustion,Cold Methanol (Rectisol),13699.9995447695,Metric Tons Per Day,The project has completed a FEED study and received planning approval. Bought by SARGAS in July 2014. SARGAS plans to switch to natural gas fuel.,02/01/2009,5000000000,Euros,https://sequestration.mit.edu/tools/projects/don_valley.html
DONG Energy - High-Efficiency PC Plant in Griefswalde,DONG Energy,Griefswalde PC Plant,Capture and Storage,Terminated,Planned,Plant Design,Germany,,Griefswalde,1600,Megawatt,Post-Combustion,Chilled Ammonia,90,% Reduction,"The 1,600-MW proposed power plant plan was withdrawn due to a lack of political backing.",,,US Dollar,http://globalenergyobservatory.org/geoid/40324  
Dongguan Taiyangzhou IGCC,Dongguan Taiyangzhou Power Corporation,Dongguan Taiyangzhou Plant,Capture and Storage,Potential,Planned,Planning,China,,"Dongguan, Guangdong",750,Megawatt,Pre-Combustion,Cryogenic,2739.99990895391,Metric Tons Per Day,Proposed construction of a 750-MW IGCC power plant with pre-combustion CO2 capture; 150 KM transport to EOR field in Shangdong Province.,01/01/2016,,US Dollar,https://sequestration.mit.edu/tools/projects/dongguan.html
Duke Energy - Cliffside Plant,Duke Energy,Cliffside Power Plant,Capture and Storage,Hold,Existing,Plant in Operation,United States,North Carolina,Rutherford County,825,Megawatt,,,90,% Reduction,"The project built one 800-MW supercritical unit, originally to have carbon mitigation.",01/01/2012,1800000000,US Dollar,http://www.powermag.com/cliffside-steam-station-unit-6-cliffside-north-carolina/?pagenum=1
Duke Energy - Edwardsport Plant,Duke Energy,Edwardsport IGCC,Capture and Storage,Hold,Existing,Plant in Operation,United States,Indiana,Edwardsport,618,Megawatt,Pre-Combustion,,70,% Reduction,"The project was to build a 618-MW IGCC, plant with CCS, in Knox County, Indiana. The CCS capability was not installed, and the plant was completed.",01/10/2012,2300000000,US Dollar,https://www.eenews.net/stories/1060057629
"E.ON Coal Plant in Wilhelmshaven, Germany",E.ON,Wilhelmshaven Power Plant,Capture,Completed,Existing,Capture Complete,Germany,,Wilhelmshaven,756,Megawatt,Post-Combustion,Fluor Econamine,70,Metric Tons Per Day,The pilot plant will be small in scale at 5.5 MW and will capture approximately 70 metric tons per day of CO2. Completed in late 2015.,01/01/2010,10000000,Euros,http://www.fluor.com/projects/carbon-capture-plant-design-build
E.ON Kingsnorth Ruhrgas UK Post-Combustion Project,E.ON,Kingsnorth Power Station,Capture,Terminated,Planned,Plant Design,United Kingdom,,Kent,1600,Megawatt,Post-Combustion,Amines,20,% Reduction,Project was cancelled in March 2012 due to economic hurdles to construction.,01/01/2012,1112000000,Euros,http://www.zeroco2.no/projects/e.on-2013-kingsnorth-post-combustion-project
"E.ON Pilot Plant in Heyden, Germany",E.ON,Heyden Power Plant,Capture,Completed,Existing,Capture Complete,Germany,North Rhine - Westphalia,Minden,7,Megawatt,Post-Combustion,Amines,90,% Reduction,The project plans to improve the efficiency of post combustion capturing by testing different solvents. The pilot plant is expected to begin its operation in 2009 and plans to produce 7 MW.,01/01/2010,10000000,Euros,http://www.cansolv.com/rtecontent/document/CO2Pilotplant2009.pdf
E.ON Ruhrgas Killingholme IGCC,E.ON,Killingholme Station,Capture and Storage,Terminated,Planned,Plant Design,United Kingdom,Lincolnshire,North Killingholme,470,Megawatt,Pre-Combustion,Solvents,6849.99977238476,Metric Tons Per Day,"Large-scale IGCC Plant with CCS. Capture up to 2.5 Mt/yr of CO2, compress and transport to gas fields under the North Sea. In March 2015 E.ON announced the cancellation of the project.",01/01/2019,1000000000,British Pound,http://sequestration.mit.edu/tools/projects/killingholme.html
E.ON Staudinger - Grosskrotzenburg Germany,E.ON,Staudinger Power Plant,Capture,Active,Existing,Plant in Operation,Germany,,Grosskrotzenburg,510,Megawatt,Post-Combustion,Solvents,90,% Reduction,A post-combustion capture process developed by Siemens will be used to remove over 90% of the CO2 from the flue gases of one of the units at the E.ON plant.,09/01/2009,10000000,Euros,https://www.siemens.com/press/en/presspicture/?press=/en/presspicture/2010/energy_service/ese201002035-04.htm  
Ecofisk EOR (Pilot),ConocoPhillips,Commercial Source,Storage,Active,Planned,Site Characterization,Norway,,Stavanger (200 miles Offshore),,,,,,,The project will conduct an investigation of alternative EOR processes having potential application in the giant Ekofisk chalk field.,01/01/2015,,US Dollar,http://www.co2.no/download.asp?DAFID=42&DAAID=4
Enecogen Cryogenic CO2 Capture,Eneco,Enecogen Gas-Fired CHP Power Plant,Capture and Storage,Active,Existing,Plant in Operation,Netherlands,,Maasvlakte,850,Megawatt,Post-Combustion,Cryogenic,24.6599991805851,Metric Tons Per Day,ENECOGEN intends to build an 850-MW natural-gas fired plant using cryogenic CO2 capture to initially capture about 9K metric tons of CO2/year. The cryogenic capture process will use about 50% of their cooling need from Liongas LNG Terminal.,01/01/2013,37000000,Euros,http://www.icis.com/resources/news/2006/11/21/9291955/enecogen-plans-dutch-ccgt-carbon-capture/
Enel Brindisi CCS Project,Enel,Federico II Brindisi Coal-Fired Power Plant,Capture and Storage,Active,Existing,Capture Ongoing,Italy,,Brindisi,660,Megawatt,Post-Combustion,Amines,21.9199992716312,Metric Tons Per Day,"Enel and Eni signed a strategic cooperation agreement to develop systems for the capture, transport, and geological sequestration of CO2 and for the joint construction of Italy's first carbon capture and storage project. Injection into a saline reservoir.",01/01/2010,20000000,Euros,http://www.zeroco2.no/projects/brindisi
Engineering-Scale Demonstration of Mixed-Salt Process for CO2 Capture,SRI International,CO2 Technology Centre Mongstad (TCM),Capture,Active,Existing,Engineering design,Norway,Hordaland,Bergen,10,Megawatt,Post-Combustion,SRI International’s Mixed-Salt Process,,,"10 MW - Test transformational solvent-based CO2 capture technologies at engineering scales using existing infrastructure, or membrane-based approaches that can be built and tested at a relevant scale that can be easily replicated for larger systems.",,10396403,US Dollar,https://www.energy.gov/articles/energy-department-invests-44m-advanced-carbon-capture-technologies-projects
Engineering-Scale Testing of Transformational Non-Aqueous Solvent-Based CO2 Capture Process at Technology Centre Mongstad,Research Triangle Institute,CO2 Technology Centre Mongstad (TCM),Capture,Active,Existing,Engineering design,Norway,Hordaland,Bergen,10,Megawatt,Post-Combustion,RTI International’s transformational Non-Aqueous Solvent (NAS)-Based CO2 Capture Technology,,,"Test transformational solvent-based CO2 capture technologies at engineering scales using existing infrastructure, or membrane-based approaches that can be built and tested at a relevant scale that can be easily replicated for larger systems.",,23045000,US Dollar,http://www.captureready.com/EN/Channels/News/showDetail.asp?objID=4954
Eni and Enel CCS Project,Enel and Eni,Federico II Power Plant,Capture and Storage,Active,Existing,Capture Ongoing,Italy,,Cortemaggiore,660,Megawatt,Post-Combustion,Amines,21.9199992716312,Metric Tons Per Day,"Enel will trap CO2 from a coal-fired power station in Brindisi and transport the CO2 to the Eni-owned Stogit natural gas field in Cortemaggiore. Enel will be capable of capturing 2 metric tons of CO2/hr while Eni plans to inject about 8,000 metric tons of CO2/yr.",09/01/2010,,US Dollar,http://www.powermag.com/italys-enel-and-eni-join-forces-on-pilot-ccs-project/
"Establishing An Early Carbon Dioxide Storage (ECO2S) Complex in Kemper County, Mississippi: Project ECO2S",Southern States Energy Board,,Storage,Potential,,Planning,United States,Georgia,"Kemper County, Mississippi",,,,,,,"Demonstrate that the subsurface adjacent to the Kemper County energy facility has the potential to store commercial volumes of CO2 safely, permanently, and economically within a regionally significant saline reservoir system.",03/01/2017,14735716,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029465
